             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
   131.247.67.45|     6|     2016-03-04 15:47:26|     2016-03-04 15:47:34|        64|       572|     76439|
   131.247.67.45|     6|     2016-03-04 15:47:59|     2016-03-04 15:48:07|        40|       353|     59697|
   131.247.67.45|     6|     2016-03-04 15:47:57|     2016-03-04 15:48:06|        32|       403|    234826|
   131.247.67.45|     6|     2016-03-04 15:48:07|     2016-03-04 15:48:15|        42|       390|    191925|
   131.247.67.45|     6|     2016-03-04 15:48:07|     2016-03-04 15:48:15|        43|       323|     69292|
   131.247.67.45|     6|     2016-03-04 15:48:23|     2016-03-04 15:48:31|        54|       521|    139666|
   131.247.67.45|     6|     2016-03-04 15:48:39|     2016-03-04 15:48:47|        37|       299|     46525|
   131.247.67.45|     6|     2016-03-04 15:48:57|     2016-03-04 15:49:02|        33|       262|     48828|
   131.247.67.45|     6|     2016-03-04 15:49:52|     2016-03-04 15:49:57|        34|       307|     42450|
   131.247.67.45|     6|     2016-03-04 15:50:07|     2016-03-04 15:50:13|       100|       836|    141372|
   131.247.67.45|     6|     2016-03-04 15:50:23|     2016-03-04 15:50:29|        32|       223|     27836|
   131.247.67.45|     6|     2016-03-04 15:50:41|     2016-03-04 15:50:45|        35|       298|     35243|
   131.247.67.45|     6|     2016-03-04 15:50:57|     2016-03-04 15:51:03|        41|       331|     57444|
   131.247.67.45|     6|     2016-03-04 15:50:52|     2016-03-04 15:51:03|        39|       443|     47256|
   131.247.67.45|     6|     2016-03-04 15:51:11|     2016-03-04 15:51:18|        82|       960|    577193|
   131.247.67.45|     6|     2016-03-04 15:54:57|     2016-03-04 15:55:01|        38|       402|    218978|
   131.247.67.45|     6|     2016-03-04 15:55:20|     2016-03-04 15:55:28|        37|      1301|   1432319|
   131.247.67.45|     6|     2016-03-04 15:55:19|     2016-03-04 15:55:27|        58|      2333|   2416677|
   131.247.67.45|     6|     2016-03-04 15:55:28|     2016-03-04 15:55:36|        45|       424|     69639|
   131.247.67.45|     6|     2016-03-04 15:55:28|     2016-03-04 15:55:36|        48|       564|    253815|
   131.247.67.45|     6|     2016-03-04 15:55:27|     2016-03-04 15:55:43|       128|      4074|   3479797|
   131.247.67.45|     6|     2016-03-04 15:56:09|     2016-03-04 15:56:15|        41|       947|    910728|
   131.247.67.45|     6|     2016-03-04 15:56:40|     2016-03-04 15:56:48|        36|       549|     71615|
